bioguide_id,crp_id,cand_name,cycle,state,party,chamber,first_elected,next_election,total,spent,cash_on_hand,debt
K000210,N00001193,"King, Pete",2014,NY,R,H,1992,2014,1308269.37,811981.63,2911844.81,0
C001092,N00001285,"Collins, Chris",2014,NY,R,H,2012,2014,961191.07,366415.49,610793.8,500000
S000480,N00001311,"Slaughter, Louise M",2014,NY,D,H,1986,2014,1112376.31,796859.44,340343.47,0
D000482,N00001373,"Doyle, Mike",2014,PA,D,H,1994,2014,858650.91,861701.05,210531.58,0
S001162,N00001579,"Schwartz, Allyson",2014,PA,D,H,2004,2014,416405.72,3113897.62,415285.74,0
B001227,N00001619,"Brady, Robert A",2014,PA,D,H,1998,2014,722246.43,750831.02,549473.17,0
P000373,N00001633,"Pitts, Joe",2014,PA,R,H,1996,2014,1287842.77,1314731.6,135949.58,0
R000361,N00001685,"Rockefeller, Jay",2014,WV,D,S,1984,2014,1044452,1581172,0,0
L000261,N00001691,"Levin, Carl",2014,MI,D,S,1978,2014,116028,1625680,0,0
N000147,N00001692,"Norton, Eleanor Holmes",2014,DC,D,D,1990,2014,442559.35,467785.81,220676.13,0
F000043,N00001746,"Fattah, Chaka",2014,PA,D,H,1994,2014,496475.36,524913.65,1430.48,0
G000386,N00001758,"Grassley, Chuck",2014,IA,R,S,1980,2016,6752465,7767131,1838647,13216
D000355,N00001783,"Dingell, John D",2014,MI,D,H,1955,2014,398243.61,453941.85,331366.9,0
S000583,N00001811,"Smith, Lamar",2014,TX,R,H,1986,2014,1455927.03,1567732.66,764753.05,0
S000248,N00001813,"Serrano, Jose E",2014,NY,D,H,1989,2014,192203.07,165918.83,43001.87,0
H000874,N00001821,"Hoyer, Steny H",2014,MD,D,H,1981,2014,3869179.16,3843175.61,803035.64,0
M000702,N00001945,"Mikulski, Barbara A",2014,MD,D,S,1986,2016,5304361,5233527,945321,0
C000141,N00001955,"Cardin, Ben",2014,MD,D,S,2006,2018,6838962,6253534,690935,0
C000984,N00001971,"Cummings, Elijah E",2014,MD,D,H,1996,2014,898537.95,787933.38,890656.95,0
M000933,N00002083,"Moran, Jim",2014,VA,D,H,1990,2014,643292.89,355804.72,644141.66,0
S000185,N00002147,"Scott, Bobby",2014,VA,D,H,1992,2014,511673.95,473415.24,99952.54,3191.43
R000011,N00002198,"Rahall, Nick",2014,WV,D,H,1976,2014,2589881.04,2645213.57,54348.77,0
B001135,N00002221,"Burr, Richard",2014,NC,R,S,2004,2016,8910533,5862980,747123,0
C000556,N00002247,"Coble, Howard",2014,NC,R,H,1984,2014,85483.69,109133.97,54910.14,0
